#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[57]|*[72]	DATASET[57]|ONTOLOGY[57]|EVALMETRIC[57]|SOFTWARE[57]|PUBLICATION[57]|PROJECT[57]|WORKSHOP[57]|PROGLANG[57]|LICENSE[57]|CONFERENCE[72]
5-162	1727-1732	enter	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-163	1733-1740	dataset	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-164	1741-1745	path	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-165	1745-1746	:	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-166	1748-1759	data\_matrix	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-167	1759-1760	\_	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-168	1760-1761	1	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-169	1761-1762	\_	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-170	1762-1771	S\_Set.mat	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-171	1783-1784	2	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-172	1784-1785	>	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-173	1786-1792	Please	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-174	1793-1798	enter	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-175	1799-1805	number	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-176	1806-1808	of	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-177	1809-1819	processors	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-178	1819-1820	:	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-179	1822-1824	16	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-180	1836-1837	3	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-181	1837-1838	>	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-182	1839-1845	Please	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-183	1846-1849	set	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-184	1850-1853	the	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-185	1854-1859	value	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-186	1860-1862	of	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-187	1863-1868	alpha	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-188	1868-1869	:	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-189	1871-1872	1	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-190	1884-1885	4	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-191	1885-1886	>	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-192	1887-1893	Please	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-193	1894-1899	enter	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-194	1900-1909	computing	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-195	1910-1914	time	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-196	1915-1920	limit	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-197	1921-1922	(	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-198	1922-1929	seconds	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-199	1929-1930	)	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-200	1930-1931	:	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-201	1933-1935	20	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-202	1937-1938	(	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-203	1938-1939	5	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-204	1939-1940	)	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-205	1941-1947	Result	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-206	1947-1948	:	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-207	1949-1952	The	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-208	1953-1961	training	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-209	1962-1971	iteration	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-210	1972-1975	and	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-211	1976-1987	computation	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-212	1988-1992	time	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-213	1993-1996	log	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-214	1997-1999	is	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-215	2000-2005	saved	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-216	2006-2008	in	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-217	2009-2029	Para\_DPMM\_output.txt	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-218	2029-2030	,	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-219	2031-2034	the	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-220	2035-2045	clustering	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-221	2046-2052	result	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-222	2053-2055	is	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-223	2056-2061	saved	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-224	2062-2064	in	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-225	2065-2085	Para\_DPMM\_result.mat	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-226	2085-2086	,	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-227	2087-2092	where	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-228	2093-2094	z	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-229	2095-2097	is	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-230	2098-2101	the	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-231	2102-2112	clustering	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-232	2113-2119	result	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-233	2120-2122	of	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-234	2123-2132	Para\_DPMM	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-235	2133-2138	model	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-236	2138-2139	,	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-237	2140-2145	label	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-238	2146-2148	is	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-239	2149-2152	the	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-240	2153-2159	ground	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-241	2160-2165	truth	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-242	2166-2173	cluster	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-243	2174-2179	label	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-244	2179-2180	,	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-245	2181-2183	AR	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-246	2184-2186	is	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-247	2187-2195	Adjusted	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-248	2196-2202	Random	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-249	2203-2208	Index	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-250	2208-2209	,	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-251	2210-2212	RI	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-252	2213-2215	is	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-253	2216-2222	Random	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-254	2223-2228	Index	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-255	2229-2238	benchmark	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-256	2238-2239	,	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-257	2240-2242	MI	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-258	2243-2245	is	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-259	2246-2247	"	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-260	2247-2255	Mirkin's	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-261	2255-2256	"	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-262	2257-2262	index	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-263	2263-2266	and	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-264	2267-2269	HI	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-265	2270-2272	is	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-266	2273-2274	"	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-267	2274-2282	Hubert's	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-268	2282-2283	"	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-269	2284-2289	index	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-270	2289-2290	.	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-271	2295-2296	#	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-272	2296-2297	#	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-273	2298-2304	Option	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
5-274	2305-2306	2	*[62]	PROGLANG[62]|LICENSE[62]|PROJECT[62]|ONTOLOGY[62]|DATASET[62]|EVALMETRIC[62]|SOFTWARE[62]|PUBLICATION[62]|CONFERENCE[62]|WORKSHOP[62]
